bibcode,Code
2023MNRAS.tmp.2896L,https://github.com/henrysky/astroNN_stars_foundation
2023MNRAS.526.1997P,https://github.com/aaryapatil/elicit-disk-copulas
2023MNRAS.522.4577L,https://github.com/henrysky/astroNN_ages
2023MNRAS.519..948L,https://github.com/henrysky/astroNN_GC_distance
2019MNRAS.489.2079L,https://github.com/henrysky/astroNN_gaia_dr2_paper
2019MNRAS.489..176M,https://github.com/jmackereth/monoage-velocity-dispersion
2019MNRAS.483.3255L,https://github.com/henrysky/astroNN_spectra_paper_figures
